idx,treespec,prod_wd,bark,Country,2021 ,2018 ,2015 ,2012 ,2009 ,2006 ,2003 ,2000 ,1997 ,1994 ,1991 ,1988 
"A,CONIF,RW,THS_M3,UNBK,PL",CONIF,RW,UNBK,PL,33319.54,35896.79,30631.54,27649.66,25493.06,23403.5,21887.0,19541.0,15946.0,13992.0,,
"A,CONIF,RW,THS_M3,UNBK,PT",CONIF,RW,UNBK,PT,3543.34,4291.91,2871.98,3047.46,3619.45,3700.9,3532.0,5182.0,4760.0,5107.0,,
"A,CONIF,RW,THS_M3,UNBK,RO",CONIF,RW,UNBK,RO,7122.27,5953.54,6024.41,6129.5,4922.1,4674.0,6568.0,4918.5,5369.0,3942.0,,
"A,CONIF,RW,THS_M3,UNBK,SE",CONIF,RW,UNBK,SE,67700.0,63900.0,67260.0,62595.0,59100.0,58400.0,60550.0,57010.0,54810.0,50800.0,,
"A,CONIF,RW,THS_M3,UNBK,SI",CONIF,RW,UNBK,SI,1896.25,3443.75,3062.52,,1582.17,1885.22,1549.0,1209.0,1172.0,1202.0,,
"A,CONIF,RW,THS_M3,UNBK,SK",CONIF,RW,UNBK,SK,3900.63,5789.39,4662.26,4426.56,6275.67,4785.43,3375.0,3211.0,3686.0,3045.0,,
"A,CONIF,RW,THS_M3,UNBK,UK",CONIF,RW,UNBK,UK,10179.01,10420.13,10078.66,9653.77,8154.73,8041.0,7580.0,7219.0,7120.0,7185.0,,
"A,CONIF,RW_FW,THS_M3,OVBK,AT",CONIF,RW_FW,OVBK,AT,3352.04,3603.71,3359.26,3355.28,3063.21,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,BE",CONIF,RW_FW,OVBK,BE,,,,,55.0,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,BG",CONIF,RW_FW,OVBK,BG,668.42,935.39,663.99,392.0,245.0,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,CH",CONIF,RW_FW,OVBK,CH,833.76,754.99,547.58,,481.96,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,CY",CONIF,RW_FW,OVBK,CY,,,,6.43,3.62,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,CZ",CONIF,RW_FW,OVBK,CZ,,,,1243.76,1274.9,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,DE",CONIF,RW_FW,OVBK,DE,,,,4981.93,4970.69,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,DK",CONIF,RW_FW,OVBK,DK,,,1532.4,,907.5,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,EE",CONIF,RW_FW,OVBK,EE,1574.0,1805.0,1320.0,800.0,550.0,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,EL",CONIF,RW_FW,OVBK,EL,,,,87.3,87.27,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,ES",CONIF,RW_FW,OVBK,ES,819.74,2259.0,3447.49,609.2,666.67,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,FI",CONIF,RW_FW,OVBK,FI,4956.32,4091.34,4551.78,4272.18,3039.0,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,FR",CONIF,RW_FW,OVBK,FR,2802.13,2564.85,3054.36,3123.47,2984.29,2902.94,2952.12,3104.58,3397.88,3639.63,3850.31,3367.95
"A,CONIF,RW_FW,THS_M3,OVBK,HR",CONIF,RW_FW,OVBK,HR,,,,,,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,HU",CONIF,RW_FW,OVBK,HU,122.37,131.96,175.45,140.96,176.8,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,IE",CONIF,RW_FW,OVBK,IE,231.0,191.0,229.64,110.17,96.0,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,IS",CONIF,RW_FW,OVBK,IS,0.3,1.0,,0.69,,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,IT",CONIF,RW_FW,OVBK,IT,,1005.2,1245.2,747.2,686.86,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,LI",CONIF,RW_FW,OVBK,LI,1.04,1.67,1.3,6.2,11.0,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,LT",CONIF,RW_FW,OVBK,LT,675.74,498.0,778.78,801.35,690.2,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,LU",CONIF,RW_FW,OVBK,LU,28.48,54.0,32.61,4.63,4.16,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,LV",CONIF,RW_FW,OVBK,LV,346.5,275.0,220.0,516.12,881.5,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,MT",CONIF,RW_FW,OVBK,MT,,0.0,,0.0,0.0,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,NL",CONIF,RW_FW,OVBK,NL,512.28,486.0,159.0,60.6,60.98,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,NO",CONIF,RW_FW,OVBK,NO,674.89,658.01,679.85,708.23,838.32,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,PL",CONIF,RW_FW,OVBK,PL,2432.01,2976.42,2992.95,2874.37,2303.06,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,PT",CONIF,RW_FW,OVBK,PT,636.13,550.17,260.11,0.0,266.67,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,RO",CONIF,RW_FW,OVBK,RO,1412.8,1139.23,1078.63,796.9,778.0,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,SE",CONIF,RW_FW,OVBK,SE,3162.5,3115.62,4200.0,3540.0,3245.0,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,SI",CONIF,RW_FW,OVBK,SI,117.74,220.02,225.02,191.67,126.4,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,SK",CONIF,RW_FW,OVBK,SK,256.03,301.45,261.52,321.56,390.12,,,,,,,
"A,CONIF,RW_FW,THS_M3,OVBK,UK",CONIF,RW_FW,OVBK,UK,,2089.7,1759.74,1099.84,714.9,,,,,,,
"A,CONIF,RW_FW,THS_M3,UNBK,AT",CONIF,RW_FW,UNBK,AT,2992.9,3217.6,2999.34,2995.79,2735.01,2822.0,1960.0,1623.0,2131.0,1963.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,BE",CONIF,RW_FW,UNBK,BE,,85.3,,,50.0,50.0,50.0,50.0,,,,
"A,CONIF,RW_FW,THS_M3,UNBK,BG",CONIF,RW_FW,UNBK,BG,607.66,850.36,603.63,313.03,223.0,270.0,328.0,314.0,49.0,17.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,CH",CONIF,RW_FW,UNBK,CH,750.38,679.49,492.83,,434.08,508.63,400.0,818.0,113.0,295.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,CY",CONIF,RW_FW,UNBK,CY,6.34,7.85,5.99,5.14,2.9,1.98,3.79,4.84,9.0,10.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,CZ",CONIF,RW_FW,UNBK,CZ,,3600.0,1514.0,1196.0,1159.0,820.0,690.0,660.0,413.0,688.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,DE",CONIF,RW_FW,UNBK,DE,9264.9,9118.49,5309.19,4529.03,4518.81,4273.0,3914.0,1510.0,1567.0,1065.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,DK",CONIF,RW_FW,UNBK,DK,,,1393.09,,825.0,832.0,528.57,236.0,299.0,211.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,EE",CONIF,RW_FW,UNBK,EE,1430.91,1640.91,1200.0,720.0,495.0,350.0,1000.0,890.0,410.0,120.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,EL",CONIF,RW_FW,UNBK,EL,,,,,63.91,126.0,184.02,189.0,104.0,158.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,ES",CONIF,RW_FW,UNBK,ES,688.58,1897.56,2895.89,530.0,580.0,315.0,330.0,320.0,564.0,464.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,EU27_2020",CONIF,RW_FW,UNBK,EU27_2020,,,32537.81,26841.45,,,21189.95,,,,,
"A,CONIF,RW_FW,THS_M3,UNBK,FI",CONIF,RW_FW,UNBK,FI,4297.13,3547.19,3946.39,3703.98,2634.81,2624.64,2414.42,1634.18,1367.0,1385.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,FR",CONIF,RW_FW,UNBK,FR,2672.68,2414.82,2596.21,2654.95,2536.64,2467.5,2509.3,2638.89,2888.2,3093.69,3272.77,2862.76
"A,CONIF,RW_FW,THS_M3,UNBK,HR",CONIF,RW_FW,UNBK,HR,50.11,66.87,62.55,40.0,14.0,27.0,18.0,82.0,6.0,0.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,HU",CONIF,RW_FW,UNBK,HU,97.9,105.57,140.36,112.77,141.5,99.0,63.0,87.5,81.0,49.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,IE",CONIF,RW_FW,UNBK,IE,,,105.13,100.16,87.27,5.0,8.05,50.0,45.0,53.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,IS",CONIF,RW_FW,UNBK,IS,0.3,1.0,,0.63,,0.0,,,0.0,0.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,IT",CONIF,RW_FW,UNBK,IT,,913.82,655.37,,581.1,532.53,446.0,621.0,310.0,301.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,LI",CONIF,RW_FW,UNBK,LI,0.94,1.52,1.18,5.64,4.0,9.0,,,1.0,2.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,LT",CONIF,RW_FW,UNBK,LT,598.0,441.0,739.0,710.0,611.52,510.0,630.0,450.0,660.0,1297.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,LU",CONIF,RW_FW,UNBK,LU,24.21,45.9,28.36,,3.78,7.87,4.28,1.1,,,,
"A,CONIF,RW_FW,THS_M3,UNBK,LV",CONIF,RW_FW,UNBK,LV,315.0,250.0,200.0,469.2,801.36,729.0,456.52,942.0,1300.0,300.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,MT",CONIF,RW_FW,UNBK,MT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,NL",CONIF,RW_FW,UNBK,NL,450.81,434.0,140.0,50.0,50.0,50.0,50.0,0.0,0.0,25.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,NO",CONIF,RW_FW,UNBK,NO,613.54,598.19,618.04,588.96,762.11,849.48,511.0,185.31,74.0,117.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,PL",CONIF,RW_FW,UNBK,PL,2189.03,2679.05,2693.93,2587.2,2072.96,1748.0,1922.0,730.0,721.0,1072.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,PT",CONIF,RW_FW,UNBK,PT,444.85,384.74,181.89,200.0,200.0,200.0,200.0,200.0,185.0,185.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,RO",CONIF,RW_FW,UNBK,RO,1362.46,1084.99,1017.57,735.54,694.0,914.0,369.0,332.0,559.0,188.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,SE",CONIF,RW_FW,UNBK,SE,2750.0,2733.0,3500.0,2950.0,2950.0,3900.0,2950.0,2950.0,1900.0,1900.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,SI",CONIF,RW_FW,UNBK,SI,105.96,198.02,202.52,172.5,113.76,109.59,0.0,0.0,0.0,1.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,SK",CONIF,RW_FW,UNBK,SK,222.63,262.13,237.74,292.33,351.54,142.46,161.0,149.0,263.0,338.0,,
"A,CONIF,RW_FW,THS_M3,UNBK,UK",CONIF,RW_FW,UNBK,UK,1571.2,1865.8,1571.2,982.0,638.3,98.0,98.0,98.0,98.0,98.0,,
"A,CONIF,RW_IN,THS_M3,OVBK,AT",CONIF,RW_IN,OVBK,AT,14190.98,14359.52,12960.06,13369.16,12705.21,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,BE",CONIF,RW_IN,OVBK,BE,,,,3376.55,3080.0,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,BG",CONIF,RW_IN,OVBK,BG,2451.22,2886.12,2670.28,2191.0,1186.0,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,CH",CONIF,RW_IN,OVBK,CH,2836.69,3099.33,2545.93,2759.79,3136.27,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,CY",CONIF,RW_IN,OVBK,CY,,,,5.07,6.17,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,CZ",CONIF,RW_IN,OVBK,CZ,,,,14937.5,14176.8,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,DE",CONIF,RW_IN,OVBK,DE,,,,37329.23,35784.14,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,DK",CONIF,RW_IN,OVBK,DK,,,1372.8,1314.32,1428.9,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,EE",CONIF,RW_IN,OVBK,EE,4892.0,5605.0,4820.0,4030.0,3065.0,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,EL",CONIF,RW_IN,OVBK,EL,,,,248.75,397.16,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,ES",CONIF,RW_IN,OVBK,ES,8576.84,9372.15,7239.89,5941.93,6147.79,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,FI",CONIF,RW_IN,OVBK,FI,55458.19,57768.85,48991.3,43309.54,34272.12,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,FR",CONIF,RW_IN,OVBK,FR,21927.0,20324.76,19758.97,19932.26,25500.05,22452.81,21378.99,31149.49,20715.08,20619.82,20336.57,19544.61
"A,CONIF,RW_IN,THS_M3,OVBK,HR",CONIF,RW_IN,OVBK,HR,,,,,,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,HU",CONIF,RW_IN,OVBK,HU,1087.23,1024.29,1010.48,914.82,723.7,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,IE",CONIF,RW_IN,OVBK,IE,4077.0,3641.0,2858.32,2612.05,2484.41,,,,,,,
